Gene name	Module
AT1G01010	Green
AT1G01020	Grey
AT1G01030	Grey
AT1G01040	Green
AT1G01046	Grey
AT1G01050	Greenyellow
AT1G01060	Grey
AT1G01070	Lightgreen
AT1G01080	Purple
AT1G01090	Greenyellow
AT1G01100	Greenyellow
AT1G01110	Blue
AT1G01120	Grey
AT1G01130	Grey
AT1G01140	Red
AT1G01150	Grey
AT1G01160	Salmon
AT1G01170	Turquoise
AT1G01180	Turquoise
AT1G01190	Grey
AT1G01200	Brown
AT1G01210	Yellow
AT1G01220	Purple
AT1G01225	Blue
AT1G01230	Grey
AT1G01240	Red
AT1G01250	Turquoise
AT1G01260	Grey
AT1G01280	Black
AT1G01290	Grey
AT1G01300	Blue
AT1G01305	Cyan
AT1G01310	Magenta
AT1G01320	Turquoise
AT1G01340	Green
AT1G01350	Yellow
AT1G01355	Grey
AT1G01360	Grey
AT1G01370	Blue
AT1G01380	Brown
AT1G01390	Turquoise
AT1G01400	Lightyellow
AT1G01420	Turquoise
AT1G01430	Turquoise
AT1G01440	Green
AT1G01448	Turquoise
AT1G01450	Turquoise
AT1G01453	Brown
AT1G01460	Magenta
AT1G01470	Red
AT1G01480	Lightgreen
AT1G01490	Red
AT1G01500	Magenta
AT1G01510	Blue
AT1G01520	Grey
AT1G01530	Tan
AT1G01540	Turquoise
AT1G01550	Red
AT1G01560	Green
AT1G01570	Grey
AT1G01580	Brown
AT1G01590	Grey
AT1G01600	Lightcyan
AT1G01610	Blue
AT1G01620	Turquoise
AT1G01630	Turquoise
AT1G01640	Red
AT1G01650	Red
AT1G01660	Brown
AT1G01670	Grey
AT1G01680	Green
AT1G01690	Blue
AT1G01695	Grey
AT1G01700	Grey
AT1G01710	Grey
AT1G01720	Red
AT1G01725	Red
AT1G01730	Grey
AT1G01740	Grey
AT1G01750	Brown
AT1G01760	Grey
AT1G01770	Turquoise
AT1G01780	Magenta
AT1G01790	Turquoise
AT1G01800	Turquoise
AT1G01810	Yellow
AT1G01820	Green
AT1G01830	Grey
AT1G01840	Purple
AT1G01860	Purple
AT1G01880	Blue
AT1G01900	Purple
AT1G01910	Greenyellow
AT1G01920	Yellow
AT1G01930	Grey
AT1G01940	Yellow
AT1G01950	Blue
AT1G01960	Blue
AT1G01970	Purple
AT1G01980	Magenta
AT1G01990	Grey
AT1G02000	Magenta
AT1G02010	Lightcyan
AT1G02020	Turquoise
AT1G02030	Black
AT1G02040	Lightcyan
AT1G02050	Black
AT1G02060	Yellow
AT1G02065	Salmon
AT1G02070	Salmon
AT1G02074	Grey
AT1G02080	Grey
AT1G02090	Yellow
AT1G02100	Green
AT1G02110	Blue
AT1G02120	Green
AT1G02130	Greenyellow
AT1G02140	Greenyellow
AT1G02145	Grey
AT1G02150	Purple
