dimer,ipSAE_rank_001,ipSAE_rank_002,ipSAE_rank_003,ipTM_af_rank_001,ipTM_af_rank_002,ipTM_af_rank_003
ATCOPIA93_GAG__AT1G01010.1,0.0,0.0,0.0,0.15,0.15,0.11
ATCOPIA93_GAG__AT1G01030.1,0.0,0.0,0.0,0.15,0.13,0.11
ATCOPIA93_GAG__AT1G01040.2,0.0,0.0,0.0,0.23,0.21,0.2
ATCOPIA93_GAG__AT1G01060.3,0.0,0.0,0.0,0.17,0.14,0.13
ATCOPIA93_GAG__AT1G01100.4,0.0,0.0,0.0,0.22,0.14,0.11
ATCOPIA93_GAG__AT1G01210.1,0.0,0.0,0.0,0.15,0.13,0.1
ATCOPIA93_GAG__AT1G01250.1,0.0,0.0,0.0,0.21,0.15,0.12
ATCOPIA93_GAG__AT1G01260.3,0.0,0.0,0.0,0.19,0.18,0.17
ATCOPIA93_GAG__AT1G01350.1,0.0,0.0,0.0,0.1,0.1,0.09
ATCOPIA93_GAG__AT1G01370.2,0.0,0.0,0.0,0.14,0.13,0.13
ATCOPIA93_GAG__AT1G01380.1,0.0,0.0,0.0,0.18,0.17,0.15
ATCOPIA93_GAG__AT1G01510.1,0.0,0.0,0.0,0.16,0.14,0.14
ATCOPIA93_GAG__AT1G01530.1,0.0,0.0,0.0,0.16,0.14,0.12
ATCOPIA93_GAG__AT1G01690.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G01720.1,0.0,0.0,0.0,0.12,0.12,0.11
ATCOPIA93_GAG__AT1G01860.1,0.0,0.0,0.0,0.13,0.13,0.13
ATCOPIA93_GAG__AT1G01940.1,0.0,0.0,0.0,0.19,0.18,0.15
ATCOPIA93_GAG__AT1G02030.1,0.0,0.0,0.0,0.15,0.1,0.1
ATCOPIA93_GAG__AT1G02040.1,0.0,0.0,0.0,0.13,0.13,0.11
ATCOPIA93_GAG__AT1G02080.1,0.0,0.0,0.0,0.28,0.26,0.26
ATCOPIA93_GAG__AT1G02140.1,0.0,0.0,0.0,0.22,0.16,0.14
ATCOPIA93_GAG__AT1G02220.1,0.0,0.0,0.0,0.16,0.13,0.12
ATCOPIA93_GAG__AT1G02230.1,0.0625,0.0,0.0,0.29,0.14,0.12
ATCOPIA93_GAG__AT1G02250.1,0.0,0.0,0.0,0.14,0.12,0.12
ATCOPIA93_GAG__AT1G02330.1,0.0,0.0,0.0,0.14,0.11,0.08
ATCOPIA93_GAG__AT1G02450.1,0.0156,0.0117,0.0,0.23,0.15,0.1
ATCOPIA93_GAG__AT1G02580.1,0.0,0.0,0.0,0.18,0.18,0.16
ATCOPIA93_GAG__AT1G02680.1,0.0,0.0,0.0,0.19,0.15,0.14
ATCOPIA93_GAG__AT1G02690.2,0.0196,0.0,0.0,0.36,0.24,0.2
ATCOPIA93_GAG__AT1G02740.1,0.0,0.011,0.0,0.19,0.19,0.15
ATCOPIA93_GAG__AT1G02780.1,0.0,0.0,0.0,0.09,0.07,0.07
ATCOPIA93_GAG__AT1G02830.1,0.0,0.0,0.0,0.19,0.12,0.12
ATCOPIA93_GAG__AT1G02840.3,0.0,0.0,0.0,0.16,0.13,0.12
ATCOPIA93_GAG__AT1G02970.1,0.0,0.0,0.0,0.19,0.17,0.16
ATCOPIA93_GAG__AT1G03040.1,0.0,0.0,0.0,0.15,0.15,0.14
ATCOPIA93_GAG__AT1G03140.1,0.0,0.0,0.0,0.13,0.12,0.1
ATCOPIA93_GAG__AT1G03190.2,0.0,0.0,0.0,0.19,0.16,0.14
ATCOPIA93_GAG__AT1G03280.1,0.0163,0.0,0.0,0.29,0.16,0.13
ATCOPIA93_GAG__AT1G03290.2,0.0,0.0,0.0,0.15,0.12,0.12
ATCOPIA93_GAG__AT1G03330.1,0.0,0.0,0.0,0.23,0.21,0.13
ATCOPIA93_GAG__AT1G03360.1,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G03490.1,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G03530.1,0.0,0.0,0.0,0.16,0.16,0.15
ATCOPIA93_GAG__AT1G03740.1,0.0,0.0,0.0,0.22,0.18,0.18
ATCOPIA93_GAG__AT1G03760.1,0.0,0.0,0.0,0.15,0.14,0.13
ATCOPIA93_GAG__AT1G03770.2,0.013,0.0127,0.0,0.18,0.17,0.15
ATCOPIA93_GAG__AT1G03780.3,0.0,0.0,0.0,0.14,0.13,0.13
ATCOPIA93_GAG__AT1G03790.1,0.0,0.0,0.0,0.13,0.12,0.12
ATCOPIA93_GAG__AT1G03800.1,0.0113,0.0,0.0,0.17,0.13,0.12
ATCOPIA93_GAG__AT1G03840.1,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G03850.1,0.0,0.0,0.0,0.21,0.19,0.16
ATCOPIA93_GAG__AT1G03910.2,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G03970.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G04020.1,0.0153,0.0,0.0,0.17,0.17,0.16
ATCOPIA93_GAG__AT1G04080.3,0.0,0.0,0.0,0.16,0.15,0.15
ATCOPIA93_GAG__AT1G04100.1,0.0121,0.0,0.0,0.25,0.17,0.11
ATCOPIA93_GAG__AT1G04170.1,0.0,0.0,0.0,0.27,0.16,0.14
ATCOPIA93_GAG__AT1G04240.1,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G04250.1,0.0,0.0,0.0,0.15,0.12,0.12
ATCOPIA93_GAG__AT1G04270.1,0.0,0.0,0.0,0.17,0.16,0.14
ATCOPIA93_GAG__AT1G04400.2,0.0,0.0,0.0,0.16,0.15,0.13
ATCOPIA93_GAG__AT1G04510.2,0.0167,0.0,0.0,0.37,0.27,0.11
ATCOPIA93_GAG__AT1G04550.2,0.0122,0.0,0.0,0.24,0.19,0.13
ATCOPIA93_GAG__AT1G04870.2,0.0,0.0,0.0,0.18,0.16,0.16
ATCOPIA93_GAG__AT1G04880.1,0.0,0.0,0.0,0.13,0.13,0.12
ATCOPIA93_GAG__AT1G05055.1,0.0,0.0,0.0,0.13,0.13,0.11
ATCOPIA93_GAG__AT1G05180.1,0.0,0.0,0.0,0.15,0.14,0.12
ATCOPIA93_GAG__AT1G05230.4,0.0,0.0,0.0,0.2,0.2,0.17
ATCOPIA93_GAG__AT1G05290.1,0.0,0.0,0.0,0.17,0.14,0.11
ATCOPIA93_GAG__AT1G05420.1,0.0,0.0,0.0,0.19,0.12,0.12
ATCOPIA93_GAG__AT1G05460.1,0.0,0.0,0.0,0.19,0.17,0.16
ATCOPIA93_GAG__AT1G05490.1,0.0,0.0,0.0,0.26,0.2,0.2
ATCOPIA93_GAG__AT1G05577.1,0.0,0.0,0.0,0.13,0.14,0.13
ATCOPIA93_GAG__AT1G05690.1,0.2939,0.0167,0.0127,0.45,0.27,0.21
ATCOPIA93_GAG__AT1G05710.2,0.0,0.0,0.0,0.15,0.12,0.1
ATCOPIA93_GAG__AT1G05805.1,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G05830.2,0.0,0.0,0.0,0.18,0.17,0.16
ATCOPIA93_GAG__AT1G05910.1,0.0,0.0,0.0,0.18,0.18,0.16
ATCOPIA93_GAG__AT1G05970.2,0.0,0.0,0.0,0.13,0.11,0.1
ATCOPIA93_GAG__AT1G06040.1,0.1272,0.0,0.0,0.35,0.2,0.13
ATCOPIA93_GAG__AT1G06070.1,0.0,0.0,0.0,0.13,0.13,0.12
ATCOPIA93_GAG__AT1G06150.1,0.0,0.0,0.0,0.19,0.19,0.18
ATCOPIA93_GAG__AT1G06160.1,0.0111,0.0,0.0,0.22,0.14,0.12
ATCOPIA93_GAG__AT1G06170.2,0.0,0.0,0.0,0.18,0.14,0.12
ATCOPIA93_GAG__AT1G06190.1,0.0,0.0,0.0,0.13,0.12,0.1
ATCOPIA93_GAG__AT1G06220.2,0.0,0.0,0.0,0.24,0.17,0.15
ATCOPIA93_GAG__AT1G06230.3,0.0,0.0,0.0,0.17,0.16,0.13
ATCOPIA93_GAG__AT1G06560.1,0.0,0.0,0.0,0.19,0.18,0.15
ATCOPIA93_GAG__AT1G06590.1,0.0,0.0,0.0,0.24,0.18,0.18
ATCOPIA93_GAG__AT1G06660.1,0.0,0.0,0.0,0.16,0.15,0.11
ATCOPIA93_GAG__AT1G06760.1,0.0,0.0,0.0,0.1,0.09,0.09
ATCOPIA93_GAG__AT1G06790.1,0.0,0.0,0.0,0.23,0.22,0.15
ATCOPIA93_GAG__AT1G06850.1,0.0,0.0,0.0,0.12,0.11,0.1
ATCOPIA93_GAG__AT1G06920.1,0.0,0.0101,0.0,0.15,0.14,0.13
ATCOPIA93_GAG__AT1G06960.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G07060.1,0.0,0.0,0.0,0.19,0.18,0.17
ATCOPIA93_GAG__AT1G07070.1,0.0,0.0,0.0,0.24,0.18,0.14
ATCOPIA93_GAG__AT1G07090.1,0.0,0.0,0.0,0.17,0.15,0.14
ATCOPIA93_GAG__AT1G07170.3,0.0,0.0,0.0,0.19,0.17,0.14
ATCOPIA93_GAG__AT1G07210.1,0.0103,0.0,0.0,0.17,0.12,0.11
ATCOPIA93_GAG__AT1G07270.1,0.0,0.0,0.0,0.14,0.14,0.14
ATCOPIA93_GAG__AT1G07320.1,0.0,0.0,0.0,0.19,0.15,0.14
ATCOPIA93_GAG__AT1G07350.1,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G07370.1,0.0166,0.0,0.0,0.32,0.24,0.23
ATCOPIA93_GAG__AT1G07470.1,0.0,0.0,0.0,0.13,0.13,0.13
ATCOPIA93_GAG__AT1G07480.2,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G07500.1,0.0,0.0,0.0,0.17,0.16,0.1
ATCOPIA93_GAG__AT1G07520.1,0.0,0.0,0.0,0.17,0.16,0.15
ATCOPIA93_GAG__AT1G07530.1,0.0,0.0,0.0,0.18,0.18,0.16
ATCOPIA93_GAG__AT1G07640.3,0.0,0.0,0.0,0.12,0.12,0.11
ATCOPIA93_GAG__AT1G07705.2,0.0,0.0,0.0,0.14,0.14,0.11
ATCOPIA93_GAG__AT1G07745.1,0.0,0.0,0.0,0.18,0.13,0.12
